LCLid,day,energy_median,energy_mean,energy_max,energy_count,energy_std,energy_sum,energy_min
MAC004415,2012-07-12,0.1055,0.1515,0.913,48,0.1626055140254762,7.272000000000001,0.068
MAC004415,2012-07-13,0.121,0.1829791666666667,1.143,48,0.2104035119825948,8.783000000000001,0.07
MAC004415,2012-07-14,0.1215,0.2425624999999999,0.996,48,0.2656151356115789,11.642999999999995,0.071
MAC004415,2012-07-15,0.1085,0.166625,1.194,48,0.2116763512052644,7.997999999999998,0.071
MAC004415,2012-07-16,0.1105,0.132625,0.442,48,0.0767631408114209,6.3660000000000005,0.071
MAC004415,2012-07-17,0.114,0.1572916666666666,1.052,48,0.1504037061468069,7.549999999999998,0.071
MAC004415,2012-07-18,0.115,0.1710208333333332,1.023,48,0.1747300032187451,8.208999999999996,0.074
MAC004415,2012-07-19,0.102,0.1555,0.944,48,0.1783904395873563,7.463999999999999,0.072
MAC004415,2012-07-20,0.1095,0.1416666666666666,0.617,48,0.1064625262876384,6.799999999999999,0.073
MAC004415,2012-07-21,0.11,0.19729166875,1.1440001,48,0.2367638245984285,9.470000100000004,0.07
MAC004415,2012-07-22,0.1095,0.1603958333333333,0.936,48,0.173766012834248,7.699,0.07
MAC004415,2012-07-23,0.125,0.1863958333333333,0.986,48,0.1823753132304,8.947000000000001,0.072
MAC004415,2012-07-24,0.124,0.1831458333333333,1.182,48,0.2098501988079028,8.790999999999999,0.077
MAC004415,2012-07-25,0.1195,0.1535208333333333,0.63,48,0.0978931222636443,7.368999999999998,0.078
MAC004415,2012-07-26,0.1095,0.1601458333333333,0.925,48,0.1609523504991638,7.6869999999999985,0.076
MAC004415,2012-07-27,0.126,0.1694375,0.862,48,0.1503625273386277,8.133000000000003,0.078
MAC004415,2012-07-28,0.113,0.1749583333333333,0.909,48,0.1759165612579517,8.398,0.074
MAC004415,2012-07-29,0.1085,0.1644583333333333,1.085,48,0.1872882586922405,7.894,0.072
MAC004415,2012-07-30,0.117,0.1404583333333333,0.39,48,0.0760058671680787,6.742000000000001,0.076
MAC004415,2012-07-31,0.128,0.1695416666666666,1.133,48,0.1675176660526176,8.138,0.073
MAC004415,2012-08-01,0.127,0.1890833354166667,1.0190001,48,0.1785635254176358,9.076000100000002,0.079
MAC004415,2012-08-02,0.117,0.1772708333333333,1.017,48,0.1819417418545783,8.508999999999999,0.079
MAC004415,2012-08-03,0.1235,0.1733749999999999,0.835,48,0.1448232414931931,8.322000000000001,0.078
MAC004415,2012-08-04,0.126,0.2326041666666666,0.998,48,0.2449770931178715,11.165,0.079
MAC004415,2012-08-05,0.1185,0.1667291666666667,0.984,48,0.1678017751007132,8.003000000000002,0.079
MAC004415,2012-08-06,0.1135,0.1490625,0.614,48,0.1019310167753224,7.155000000000001,0.0819999999999999
MAC004415,2012-08-07,0.162,0.2830625,0.984,48,0.2777652771714413,13.587000000000002,0.079
MAC004415,2012-08-08,0.1215,0.1575208333333333,0.8140000000000001,48,0.1331311926272525,7.561000000000003,0.093
MAC004415,2012-08-09,0.122,0.1351041666666667,0.338,48,0.0467570632203617,6.485000000000002,0.091
MAC004415,2012-08-10,0.1355,0.1682499999999999,0.867,48,0.1243846983816311,8.075999999999999,0.091
MAC004415,2012-08-11,0.126,0.2128541666666666,1.09,48,0.2335676119327583,10.216999999999995,0.09
MAC004415,2012-08-12,0.138,0.1868541666666665,1.081,48,0.1917789052344073,8.968999999999996,0.089
MAC004415,2012-08-13,0.12,0.1399166666666667,0.424,48,0.0686334182398835,6.716000000000002,0.088
MAC004415,2012-08-14,0.123,0.1643333333333333,1.132,48,0.1594127965889566,7.887999999999999,0.087
MAC004415,2012-08-15,0.142,0.2094375,0.902,48,0.1823647159613382,10.053,0.09
MAC004415,2012-08-16,0.1065,0.1206666666666667,0.374,48,0.054970140185893,5.7920000000000025,0.087
MAC004415,2012-08-17,0.149,0.2430833333333333,1.098,48,0.2305855481929885,11.667999999999996,0.087
MAC004415,2012-08-18,0.139,0.19558333125,1.0829999,48,0.1932038659354712,9.3879999,0.092
MAC004415,2012-08-19,0.1375,0.1647708333333332,0.8240000000000001,48,0.1097560621276058,7.908999999999998,0.092
MAC004415,2012-08-20,0.1275,0.1644583333333333,0.49,48,0.0900352078493867,7.894,0.091
MAC004415,2012-08-21,0.1235,0.1791458333333333,1.012,48,0.1766874858099575,8.599000000000002,0.086
MAC004415,2012-08-22,0.1345,0.1627708333333333,0.6509999999999999,48,0.1003053295254328,7.812999999999999,0.088
MAC004415,2012-08-23,0.1119999999999999,0.1701249999999999,1.046,48,0.1853907460565501,8.165999999999999,0.0819999999999999
MAC004415,2012-08-24,0.131,0.2556458333333333,0.848,48,0.2392604287136236,12.271,0.086
MAC004415,2012-08-25,0.1345,0.2290208333333333,0.9,48,0.2324354396370975,10.993,0.087
MAC004415,2012-08-26,0.1155,0.1908125,1.181,48,0.2186516374597496,9.159,0.081
MAC004415,2012-08-27,0.119,0.1455416666666666,0.467,48,0.0782597851494061,6.985999999999999,0.083
MAC004415,2012-08-28,0.1225,0.20697916875,1.2130001,48,0.2186696323063554,9.935000099999998,0.084
MAC004415,2012-08-29,0.1185,0.1821041666666667,1.11,48,0.1997002263589138,8.741000000000003,0.071
MAC004415,2012-08-30,0.102,0.1421041666666666,0.731,48,0.1282897716662727,6.8210000000000015,0.069
MAC004415,2012-08-31,0.156,0.2484999999999999,1.024,48,0.2283220010647524,11.927999999999995,0.067
MAC004415,2012-09-01,0.1375,0.2285,1.036,48,0.2182536100454523,10.968,0.073
MAC004415,2012-09-02,0.098,0.1146666666666666,0.285,48,0.0487090071330398,5.504,0.07
MAC004415,2012-09-03,0.1215,0.1435416666666666,0.506,48,0.082500279389168,6.889999999999999,0.066
MAC004415,2012-09-04,0.107,0.17625,1.244,48,0.2195202215277091,8.459999999999999,0.072
MAC004415,2012-09-05,0.1195,0.1772708333333333,0.929,48,0.1847591577304038,8.508999999999999,0.069
MAC004415,2012-09-06,0.1025,0.1594166666666666,0.862,48,0.1749386315903237,7.652,0.065
MAC004415,2012-09-07,0.123,0.1981666666666667,0.936,48,0.1995408914881522,9.512000000000002,0.067
MAC004415,2012-09-08,0.123,0.1701875,0.948,48,0.1738636854464476,8.169,0.073
MAC004415,2012-09-09,0.113,0.1356041666666667,0.522,48,0.08323939829839,6.509000000000001,0.071
MAC004415,2012-09-10,0.1095,0.1563958333333333,1.086,48,0.1837926375002295,7.507000000000001,0.049
MAC004415,2012-09-11,0.078,0.1275,0.884,48,0.1603072847125634,6.12,0.043
MAC004415,2012-09-12,0.096,0.1639166687499999,1.1670001,48,0.1968973091937284,7.868000099999999,0.042
MAC004415,2012-09-13,0.0705,0.0834583333333333,0.228,48,0.0371660782957594,4.006,0.039
MAC004415,2012-09-14,0.0969999999999999,0.1686875,0.878,48,0.1927338763021905,8.097000000000001,0.044
MAC004415,2012-09-15,0.0695,0.0879583333333333,0.326,48,0.0598885341682587,4.222,0.041
MAC004415,2012-09-16,0.07,0.099375,0.593,48,0.09670037624517,4.7700000000000005,0.04
MAC004415,2012-09-17,0.0835,0.1385416666666666,0.799,48,0.158858823760359,6.65,0.038
MAC004415,2012-09-18,0.072,0.1074583333333333,0.483,48,0.1023038774110411,5.157999999999999,0.042
MAC004415,2012-09-19,0.087,0.137375,0.932,48,0.1783950463246989,6.593999999999999,0.034
MAC004415,2012-09-20,0.1315,0.2498541666666666,0.76,48,0.2368664216059278,11.993,0.037
MAC004415,2012-09-21,0.0975,0.1681875,0.989,48,0.2040170681480956,8.073,0.046
MAC004415,2012-09-22,0.0815,0.1373333333333333,0.736,48,0.159246808757007,6.5920000000000005,0.034
